,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Random,Heuristic,CAEBOriginal,CAEB,CAE,CAESL,CAEDL,CAESDL
738,2.0,21.0,11.0,17.0,16.0,4.0,0.0,0.477938910277688,0.1747712916404129,0.3546950326715438,0.27894633046582995,0.2593002564412056,0.29029390397071925,0.37131606368812287,0.34919291024309906
739,3.0,21.0,12.0,12.0,13.0,5.0,0.0,0.6645842472600464,0.1701853903350869,0.10233810994453284,0.113529227518675,0.09647898580032642,0.06847196637420813,0.13250336449941366,0.13259499333034167
740,3.0,21.0,12.0,12.0,12.0,5.0,0.0,0.6472707111092195,0.2040994189201703,0.3345881759438597,0.332502383105724,0.37220775373452863,0.25781525660870364,0.359890512220537,0.35223252991113513
741,3.0,21.0,12.0,12.0,15.0,14.0,0.0,0.42039209660155963,0.20414444227539144,0.2567194815035284,0.19091465818479927,0.2053866016260106,0.1817920039849642,0.22916776684345713,0.22307289493969293
742,3.0,21.0,12.0,12.0,14.0,5.0,0.0,0.39362011604188907,0.30076933019464486,0.30297093496914584,0.2142937505235526,0.24571754120149294,0.2518341842189607,0.3086870027427748,0.28272514281870975
743,3.0,21.0,12.0,12.0,17.0,25.0,0.0,0.5250125386269633,0.20366815652177922,0.3171604879928198,0.31899365866029883,0.3331212737907508,0.26573728721174633,0.3124431424097873,0.37236177434867385
744,3.0,21.0,12.0,12.0,16.0,5.0,0.0,0.3704110590106292,0.1311568061265223,0.19813966257643462,0.2295411663447853,0.23733424017242208,0.16165073617715012,0.21020798921618053,0.2542122863779518
745,4.0,21.0,5.0,3.0,1.0,8.0,0.0,0.42707578624177833,0.5589943607640125,0.6059578485403023,0.5675142359842843,0.5405092153704366,0.5402103831904097,0.5523489976731601,0.5570622030208828
746,4.0,21.0,5.0,3.0,0.0,21.0,0.0,0.5512041857366397,0.3683062328052232,0.5475426669679012,0.5487618008838177,0.511885776107989,0.5458845890494058,0.5301639213512875,0.5137400922516026
747,4.0,21.0,5.0,3.0,3.0,69.0,0.0,0.4884334599009338,0.1637379076352643,0.39253079132436297,0.34189993051771894,0.29412512487766046,0.2931336210421391,0.27472886653390144,0.2509397179519862
748,4.0,21.0,5.0,3.0,2.0,40.0,0.0,0.2532461935860999,0.18433318730565387,0.2688912181626451,0.242493083978191,0.2247211300594163,0.15699733165679697,0.24958760383400497,0.22169105816734858
749,4.0,21.0,5.0,3.0,5.0,8.0,0.0,0.6366863185539852,0.10127573415460878,0.3313492709633849,0.22718475499404295,0.268152263581956,0.26032656156031214,0.3668172366353699,0.2988771706938779
750,4.0,21.0,5.0,3.0,4.0,26.0,0.0,0.3171747444248202,0.07965099850792892,0.48482781685639015,0.528009742516907,0.4390555365763012,0.4355894298689284,0.5973448900440216,0.4901652567180155
751,5.0,21.0,9.0,14.0,13.0,26.0,0.0,0.5788633796182149,0.2880482684910936,0.4314683727675862,0.4491627292199045,0.5062239468516859,0.3982883652786044,0.4844992122280499,0.5499376746830063
752,5.0,21.0,9.0,14.0,12.0,15.0,0.0,0.4654094618761465,0.3482516330587326,0.3614152553511895,0.40340063883192345,0.44695698533504785,0.3191472002866786,0.4250384222566536,0.4529617266820012
753,5.0,21.0,9.0,14.0,15.0,19.0,0.0,0.41897991200360113,0.3035339767275782,0.5539167969782623,0.6140407147836644,0.6170102268436923,0.5109842765055491,0.6670744806530395,0.6638822031142689
